City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
625,Kieta,PG,83.25,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
627,Yanam,IN,84.6,scattered clouds,16.7333,82.2167,The Regency Hotel
628,Antalaha,MG,71.56,light rain,-14.9003,50.2788,Hotel Vitasoa
632,Guayaramerin,BO,72.84,broken clouds,-10.8368,-65.3614,Hostal Funf
634,Gibara,CU,79.92,clear sky,21.1097,-76.1317,Sol y Mar
638,Progreso,MX,78.91,scattered clouds,21.2833,-89.6667,Playa Linda Hotel
641,Isla Mujeres,MX,80.65,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
643,Batticaloa,LK,81.61,overcast clouds,7.7102,81.6924,Grand Star Guest House
644,Mayumba,GA,75.65,clear sky,-3.432,10.6554,LIKWALE LODGE
645,Dhidhdhoo,MV,82.56,overcast clouds,6.8833,73.1,Dhidhoo beach
647,Longhua,CN,76.89,overcast clouds,23.6137,114.1919,Huadu Hotel
650,Kuliyapitiya,LK,80.28,light rain,7.4688,80.0401,Rest House
656,Dali,CN,72.5,broken clouds,25.7,100.1833,Dali Travelling With Hostel
657,Luanda,AO,77.0,broken clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
658,Puerto Ayacucho,VE,76.66,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
662,Clinton,US,74.28,few clouds,42.587,-82.9199,Hampton Inn Detroit/Roseville
664,Wuwei,CN,72.77,clear sky,37.9281,102.6414,Thank Inn Chain Hotel gansu wuwei liangzhou district xiguan middle road
668,Mbandaka,CD,70.32,light rain,0.0487,18.2603,Guest House Epervier
670,Hasaki,JP,72.28,light rain,35.7333,140.8333,Hotel Sunrise Choshi
671,Buala,SB,84.92,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
674,Porto Nacional,BR,77.0,clear sky,-10.7081,-48.4172,Vila Real Hotel
677,Sangar,RU,70.39,light rain,63.9242,127.4739,
678,Mahbubnagar,IN,79.23,broken clouds,16.7333,77.9833,Maruthi Mess and Fast Foods
