City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
279,Peleduy,RU,59.6289,112.7406,81.37,26,24,6.58,few clouds
280,Provideniya,RU,64.3833,-173.3,37.51,70,90,8.95,overcast clouds
281,Lata,PT,40.1629,-8.3327,54.05,95,8,2.1,clear sky
282,Ordu,TR,40.9086,37.6845,45.1,78,8,5.77,clear sky
283,Miragoane,HT,18.4423,-73.0876,80.33,75,16,4.83,few clouds
284,Rio Grande,BR,-32.035,-52.0986,51.94,87,5,10.11,moderate rain
285,Arkhara,RU,49.4212,130.0842,52.02,93,100,9.1,overcast clouds
286,Vardo,NO,70.3705,31.1107,47.55,74,13,3.4,few clouds
287,Yar-Sale,RU,66.8333,70.8333,41.14,56,42,15.08,scattered clouds
288,Coihaique,CL,-45.5752,-72.0662,40.95,93,90,5.75,light rain
289,Mehamn,NO,71.0357,27.8492,50.07,75,20,16.71,few clouds
290,Hambantota,LK,6.1241,81.1185,79.14,94,90,15.61,overcast clouds
291,Tomatlan,MX,19.9333,-105.25,79.47,74,100,3.44,overcast clouds
292,Bilibino,RU,68.0546,166.4372,64.38,30,92,10.0,overcast clouds
293,New Norfolk,AU,-42.7826,147.0587,49.71,54,35,3.0,scattered clouds
294,Santa Maria,BR,-29.6842,-53.8069,52.9,94,0,5.14,clear sky
295,Bilma,NE,18.6853,12.9164,90.3,12,23,3.76,few clouds
296,Mendota,US,36.7536,-120.3816,103.82,11,1,12.8,clear sky
297,Ayaviri,PE,-14.8864,-70.5889,46.29,49,100,1.54,overcast clouds
298,Augusto Correa,BR,-1.0217,-46.635,74.73,96,100,3.31,overcast clouds
299,Jiayuguan,CN,39.8167,98.3,79.52,6,0,8.23,clear sky
300,Mugango,TZ,-1.6833,33.7,68.38,79,100,4.47,overcast clouds
301,Zaysan,KZ,47.4667,84.8667,81.25,36,100,9.6,overcast clouds
302,Vestmannaeyjar,IS,63.4427,-20.2734,48.43,79,100,24.34,overcast clouds
